"","Time","Sl_No.","UPI_Beneficiary_Bank","Total_Volume","Approved_Amt","BD_Amt","TD_Amt","DeemedApproved_Amt"
"250","""Dec 21""",50,"Karnataka Vikas Grameena Bank",3.03,2.95425,0.021816,0.032421,0.021513
"251","""Jan 22""",1,"Paytm Payments Bank",957.39,950.401053,6.605991,0.382956,0.095739
"252","""Jan 22""",2,"State Bank Of India",647.8,638.66602,3.239,4.98806,0.90692
"253","""Jan 22""",3,"Yes Bank Ltd",593.69,593.155679,0.356214,0.118738,0.059369
"254","""Jan 22""",4,"Icici Bank",378.39,374.870973,2.951442,0.151356,0.454068
"255","""Jan 22""",5,"Axis Bank Ltd",353.13,351.399663,1.553772,0,0.176565
"256","""Jan 22""",6,"Hdfc Bank Ltd",246.23,242.314943,3.324105,0.147738,0.418591
"257","""Jan 22""",7,"Bank Of Baroda",161.69,160.39648,0.759943,0.210197,0.32338
"258","""Jan 22""",8,"Union Bank Of India",157.03,155.255561,0.989289,0.251248,0.549605
"259","""Jan 22""",9,"Canara Bank",122.3,120.62449,1.18631,0.30575,0.17122
"260","""Jan 22""",10,"Punjab National Bank",114.09,112.15047,0.810039,0.718767,0.422133
"261","""Jan 22""",11,"Bank Of India",99.09,96.989292,0.663903,1.070172,0.366633
"262","""Jan 22""",12,"Kotak Mahindra Bank",94.65,93.334365,1.15473,0.028395,0.13251
"263","""Jan 22""",13,"Federal Bank",90.94,89.930566,0.236444,0.627486,0.145504
"264","""Jan 22""",14,"Indian Bank",62.69,58.044671,2.495062,1.046923,1.097075
"265","""Jan 22""",15,"Central Bank Of India",52.47,51.021828,0.409266,0.36729,0.676863
"266","""Jan 22""",16,"Airtel Payments Bank",50.67,49.621131,0.400293,0.481365,0.167211
"267","""Jan 22""",17,"Indusind Bank",41.99,41.250976,0.298129,0.092378,0.344318
"268","""Jan 22""",18,"Idbi Bank Limited",38.58,38.132472,0.293208,0.084876,0.069444
"269","""Jan 22""",19,"Indian Overseas Bank",33.42,33.155982,0.193836,0.030078,0.043446
"270","""Jan 22""",20,"Bank Of Maharashtra",30.65,30.3435,0.113405,0.137925,0.05517
"271","""Jan 22""",21,"Uco Bank",28.06,27.364112,0.356362,0.207644,0.131882
"272","""Jan 22""",22,"Idfc First Bank",24.19,23.75458,0.246738,0.070151,0.118531
"273","""Jan 22""",23,"Karnataka Bank",23.95,23.262635,0.189205,0.337695,0.160465
"274","""Jan 22""",24,"India Post Payment Bank",22.84,22.294124,0.1142,0.226116,0.20556
"275","""Jan 22""",25,"Karur Vysya Bank",18.68,18.463312,0.108344,0.067248,0.041096
"276","""Jan 22""",26,"South Indian Bank",13.71,13.577013,0.098712,0.030162,0.002742
"277","""Jan 22""",27,"Bandhan Bank",13.17,12.915819,0.102726,0.1317,0.019755
"278","""Jan 22""",28,"Citibank",12.15,11.97261,0.173745,0.00243,0
"279","""Jan 22""",29,"Au Small Finance Bank",9.54,9.407394,0.083952,0.021942,0.026712
